2026-05-08 16:35:42 | INFO     | 备份已创建: D:\Files\OneDrive\CTD\4 Working now\4 杂项\Monitor\backups\auto_backup_20260508_163542.zip
2026-05-08 16:35:42 | INFO     | ==================================================
2026-05-08 16:35:42 | INFO     | 应用启动
2026-05-08 16:35:43 | INFO     | 远程控制监控已启动
2026-05-08 16:35:43 | ERROR    | 未找到 cloudflared.exe，请下载放置到程序目录
2026-05-08 16:35:43 | INFO     | 检测到远程控制: 向日葵
2026-05-08 16:36:37 | INFO     | 隧道已停止
2026-05-08 16:36:37 | INFO     | 远程控制监控已停止
2026-05-08 16:36:38 | INFO     | 应用退出
2026-05-08 16:36:38 | INFO     | ==================================================
2026-05-08 16:45:59 | INFO     | ==================================================
2026-05-08 16:45:59 | INFO     | 应用启动
2026-05-08 16:45:59 | INFO     | 远程控制监控已启动
2026-05-08 16:45:59 | ERROR    | 未找到 cloudflared.exe，请下载放置到程序目录
2026-05-08 16:45:59 | INFO     | 检测到远程控制: 向日葵
2026-05-08 16:47:20 | INFO     | 隧道已停止
2026-05-08 16:47:20 | INFO     | 远程控制监控已停止
2026-05-08 16:47:20 | INFO     | 应用退出
2026-05-08 16:47:20 | INFO     | ==================================================
2026-05-08 16:56:49 | INFO     | ==================================================
2026-05-08 16:56:49 | INFO     | 应用启动
2026-05-08 16:56:49 | INFO     | 远程控制监控已启动
2026-05-08 16:56:49 | ERROR    | 未找到 cloudflared.exe，请下载放置到程序目录
2026-05-08 16:56:50 | INFO     | 检测到远程控制: 向日葵
2026-05-08 17:03:53 | INFO     | 隧道已停止
2026-05-08 17:03:53 | INFO     | 远程控制监控已停止
2026-05-08 17:03:53 | INFO     | 应用退出
2026-05-08 17:03:53 | INFO     | ==================================================
2026-05-08 20:31:58 | INFO     | ==================================================
2026-05-08 20:31:58 | INFO     | 应用启动
2026-05-08 20:31:58 | INFO     | 远程控制监控已启动
2026-05-08 20:31:58 | ERROR    | 未找到 cloudflared.exe，请下载放置到程序目录
2026-05-08 20:31:58 | INFO     | 检测到远程控制: 向日葵
2026-05-08 20:33:29 | INFO     | 隧道已停止
2026-05-08 20:33:29 | INFO     | 远程控制监控已停止
2026-05-08 20:33:30 | INFO     | 应用退出
2026-05-08 20:33:30 | INFO     | ==================================================
2026-05-08 20:57:40 | INFO     | ==================================================
2026-05-08 20:57:40 | INFO     | 应用启动
2026-05-08 20:57:40 | INFO     | 远程控制监控已启动
2026-05-08 20:57:40 | ERROR    | 未找到 cloudflared.exe，请下载放置到程序目录
2026-05-08 20:57:41 | INFO     | 检测到远程控制: 向日葵
2026-05-08 20:58:04 | INFO     | 隧道已停止
2026-05-08 20:58:04 | INFO     | 远程控制监控已停止
2026-05-08 20:58:05 | INFO     | 应用退出
2026-05-08 20:58:05 | INFO     | ==================================================
2026-05-09 00:21:21 | INFO     | 备份已创建: d:\Files\OneDrive\CTD\4 Working now\4 杂项\Monitor\backups\auto_backup_20260509_002121.zip
2026-05-09 00:21:21 | INFO     | ==================================================
2026-05-09 00:21:21 | INFO     | 应用启动
2026-05-09 00:21:21 | INFO     | 远程控制监控已启动
2026-05-09 00:21:21 | ERROR    | 未找到 cloudflared.exe，请下载放置到程序目录
2026-05-09 00:21:21 | INFO     | 检测到远程控制: 向日葵
2026-05-09 00:21:31 | INFO     | 隧道已停止
2026-05-09 00:21:31 | INFO     | 远程控制监控已停止
2026-05-09 00:21:32 | INFO     | 应用退出
2026-05-09 00:21:32 | INFO     | ==================================================
2026-05-09 09:39:08 | INFO     | ==================================================
2026-05-09 09:39:08 | INFO     | 应用启动
2026-05-09 09:39:08 | INFO     | 远程控制监控已启动
2026-05-09 09:39:08 | ERROR    | 未找到 cloudflared.exe，请下载放置到程序目录
2026-05-09 09:39:08 | INFO     | 检测到远程控制: 向日葵
2026-05-09 09:39:13 | INFO     | 隧道已停止
2026-05-09 09:39:13 | INFO     | 远程控制监控已停止
2026-05-09 09:39:14 | INFO     | 应用退出
2026-05-09 09:39:14 | INFO     | ==================================================
2026-05-09 10:02:58 | INFO     | ==================================================
2026-05-09 10:02:58 | INFO     | 应用启动
2026-05-09 10:02:58 | INFO     | 远程控制监控已启动
2026-05-09 10:02:58 | ERROR    | 未找到 cloudflared.exe，请下载放置到程序目录
2026-05-09 10:02:59 | INFO     | 检测到远程控制: 向日葵
2026-05-09 10:03:22 | INFO     | 隧道已停止
2026-05-09 10:03:22 | INFO     | 远程控制监控已停止
2026-05-09 10:03:22 | INFO     | 检测到远程控制: 向日葵
2026-05-09 10:03:22 | INFO     | 应用退出
2026-05-09 10:03:22 | INFO     | ==================================================
2026-05-13 17:42:16 | INFO     | 备份已创建: e:\OneDrive\CTD\4 Working now\4 杂项\Monitor\backups\auto_backup_20260513_174216.zip
2026-05-13 17:42:16 | INFO     | ==================================================
2026-05-13 17:42:16 | INFO     | 应用启动
2026-05-13 17:42:16 | INFO     | 远程控制监控已启动
2026-05-13 17:42:19 | ERROR    | 未找到 cloudflared.exe，请下载放置到程序目录
2026-05-13 17:43:00 | INFO     | 隧道已停止
2026-05-13 17:43:00 | INFO     | 远程控制监控已停止
2026-05-13 17:43:00 | INFO     | 应用退出
2026-05-13 17:43:00 | INFO     | ==================================================
2026-05-13 18:10:18 | INFO     | ==================================================
2026-05-13 18:10:18 | INFO     | 应用启动
2026-05-13 18:10:18 | INFO     | 远程控制监控已启动
2026-05-13 18:10:19 | ERROR    | 未找到 cloudflared.exe，请下载放置到程序目录
2026-05-13 18:10:54 | INFO     | 隧道已停止
2026-05-13 18:10:54 | INFO     | 远程控制监控已停止
2026-05-13 18:10:54 | INFO     | 应用退出
2026-05-13 18:10:54 | INFO     | ==================================================
2026-05-13 18:31:15 | INFO     | ==================================================
2026-05-13 18:31:15 | INFO     | 应用启动
2026-05-13 18:31:15 | INFO     | 远程控制监控已启动
2026-05-13 18:31:15 | ERROR    | 未找到 cloudflared.exe，请下载放置到程序目录
2026-05-13 18:31:43 | INFO     | ==================================================
2026-05-13 18:31:43 | INFO     | 应用启动
2026-05-13 18:31:43 | INFO     | 远程控制监控已启动
2026-05-13 18:31:43 | ERROR    | 未找到 cloudflared.exe，请下载放置到程序目录
2026-05-13 18:32:06 | INFO     | 隧道已停止
2026-05-13 18:32:06 | INFO     | 远程控制监控已停止
2026-05-13 18:32:06 | INFO     | 应用退出
2026-05-13 18:32:06 | INFO     | ==================================================
2026-05-13 18:32:13 | INFO     | ==================================================
2026-05-13 18:32:13 | INFO     | 应用启动
2026-05-13 18:32:13 | INFO     | 远程控制监控已启动
2026-05-13 18:32:13 | ERROR    | 未找到 cloudflared.exe，请下载放置到程序目录
2026-05-13 18:35:13 | INFO     | 隧道已停止
2026-05-13 18:35:13 | INFO     | 远程控制监控已停止
2026-05-13 18:35:13 | INFO     | 应用退出
2026-05-13 18:35:13 | INFO     | ==================================================
2026-05-13 18:35:16 | INFO     | ==================================================
2026-05-13 18:35:16 | INFO     | 应用启动
2026-05-13 18:35:16 | INFO     | 远程控制监控已启动
2026-05-13 18:35:16 | ERROR    | 未找到 cloudflared.exe，请下载放置到程序目录
2026-05-13 18:35:20 | INFO     | 隧道已停止
2026-05-13 18:35:20 | INFO     | 远程控制监控已停止
2026-05-13 18:35:20 | INFO     | 应用退出
2026-05-13 18:35:20 | INFO     | ==================================================
